

2025-09-14 06:10:00,464 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='sell', type_='limit', qty=0.154459021, price=4669.1, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.154459021) via paper reason=None
2025-09-14 06:10:00,464 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-13 tid=trade-16 reason=None
2025-09-14 06:10:00,464 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "sell", "price": 4669.1, "qty": 0.154459021, "fee": 0.0, "pnl": -6.1339657903714055}
2025-09-14 06:10:00,464 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.4956918040000001, "locked": 0.0}
2025-09-14 06:10:00,465 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "sell", "price": 4669.11, "qty": 0.154459021, "fee": 0.5408896196559825, "pnl": -0.04305340750058928, "slippage_bps": 0.0214174037808331, "maker": false}
2025-09-14 06:11:00,735 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='sell', type_='limit', qty=0.18487572600000002, price=4667.9, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.18487572600000002) via paper reason=None
2025-09-14 06:11:00,735 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-14 tid=trade-17 reason=None
2025-09-14 06:11:00,736 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "sell", "price": 4667.9, "qty": 0.18487572600000002, "fee": 0.0, "pnl": -6.409197080219098}
2025-09-14 06:11:00,736 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.3108160780000001, "locked": 0.0}
2025-09-14 06:11:00,736 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "sell", "price": 4667.9, "qty": 0.18487572600000002, "fee": 0.64723605104655, "pnl": -0.2752312898476923, "slippage_bps": 0.0, "maker": true}
2025-09-14 06:12:00,963 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='sell', type_='limit', qty=0.203427396, price=4668.05, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.203427396) via paper reason=None
2025-09-14 06:12:00,964 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-15 tid=trade-18 reason=None
2025-09-14 06:12:00,964 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "sell", "price": 4668.05, "qty": 0.203427396, "fee": 0.0, "pnl": -6.6815328138072285}
2025-09-14 06:12:00,964 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.1073886820000001, "locked": 0.0}
2025-09-14 06:12:00,964 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "sell", "price": 4668.05, "qty": 0.203427396, "fee": 0.71220694192335, "pnl": -0.2723357335881307, "slippage_bps": 0.0, "maker": true}
2025-09-14 06:33:01,878 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='sell', type_='limit', qty=0.10738868200000001, price=4666.41, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.10738868200000001) via paper reason=None
2025-09-14 06:33:01,879 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-16 tid=trade-19 reason=None
2025-09-14 06:33:01,879 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "sell", "price": 4666.41, "qty": 0.10738868200000001, "fee": 0.0, "pnl": -7.0014154287904935}
2025-09-14 06:33:01,879 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.0, "locked": 0.0}
2025-09-14 06:33:01,879 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "sell", "price": 4666.41, "qty": 0.10738868200000001, "fee": 0.375839714678715, "pnl": -0.319882614983265, "slippage_bps": 0.0, "maker": true}
2025-09-14 06:51:01,025 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.119646548, price=4666.04, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.119646548) via paper reason=None
2025-09-14 06:51:01,025 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-17 tid=trade-20 reason=None
2025-09-14 06:51:01,025 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4666.04, "qty": 0.119646548, "fee": 0.0, "pnl": -7.0014154287904935}
2025-09-14 06:51:01,025 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.119646548, "locked": 0.0}
2025-09-14 06:51:01,025 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4666.04, "qty": 0.119646548, "fee": 0.41870668412244005, "pnl": 0.0, "slippage_bps": 0.0, "maker": true}
2025-09-14 07:10:00,766 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='sell', type_='limit', qty=0.119646548, price=4659.18, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.119646548) via paper reason=None
2025-09-14 07:10:00,766 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-18 tid=trade-21 reason=None
2025-09-14 07:10:00,767 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "sell", "price": 4659.18, "qty": 0.119646548, "fee": 0.0, "pnl": -7.822190751419325}
2025-09-14 07:10:00,767 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.0, "locked": 0.0}
2025-09-14 07:10:00,767 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "sell", "price": 4659.18, "qty": 0.119646548, "fee": 0.41809110263298005, "pnl": -0.8207753226288315, "slippage_bps": 0.0, "maker": true}
2025-09-14 07:11:02,577 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 07:11:02,577 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 07:11:02,577 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 07:11:02,577 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 07:25:00,870 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.14328194700000002, price=4666.18, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.14328194700000002) via paper reason=None
2025-09-14 07:25:00,870 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-19 tid=trade-22 reason=None
2025-09-14 07:25:00,870 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4666.18, "qty": 0.14328194700000002, "fee": 0.0, "pnl": -7.822190751419325}
2025-09-14 07:25:00,870 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.14328194700000002, "locked": 0.0}
2025-09-14 07:25:00,870 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4666.17, "qty": 0.14328194700000002, "fee": 0.5014334419747426, "pnl": 0.0, "slippage_bps": -0.02143080635598772, "maker": false}
2025-09-14 07:26:01,944 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.147323973, price=4664.3, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.147323973) via paper reason=None
2025-09-14 07:26:01,944 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-20 tid=trade-23 reason=None
2025-09-14 07:26:01,944 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4664.3, "qty": 0.147323973, "fee": 0.0, "pnl": -7.822190751419325}
2025-09-14 07:26:01,945 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.14328194700000002, "locked": 687.16468050363}
2025-09-14 07:36:00,865 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='sell', type_='limit', qty=0.11179473100000001, price=4663.17, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.11179473100000001) via paper reason=None
2025-09-14 07:36:00,865 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-21 tid=trade-25 reason=None
2025-09-14 07:36:00,866 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "sell", "price": 4663.17, "qty": 0.11179473100000001, "fee": 0.0, "pnl": -8.050475047188161}
2025-09-14 07:36:00,866 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.178811189, "locked": 686.99820441414}
2025-09-14 07:36:00,866 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "sell", "price": 4663.18, "qty": 0.11179473100000001, "fee": 0.39098921527843505, "pnl": -0.22828429576883646, "slippage_bps": 0.02144463959113281, "maker": false}
2025-09-14 07:48:00,479 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='sell', type_='limit', qty=0.12256933, price=4655.5, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.12256933) via paper reason=None
2025-09-14 07:48:00,479 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-22 tid=trade-26 reason=None
2025-09-14 07:48:00,479 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "sell", "price": 4655.5, "qty": 0.12256933, "fee": 0.0, "pnl": -9.240867782695211}
2025-09-14 07:48:00,479 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.056241859000000005, "locked": 685.86822954123}
2025-09-14 07:48:00,479 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "sell", "price": 4655.51, "qty": 0.12256933, "fee": 0.42796705613122504, "pnl": -1.19039273550705, "slippage_bps": 0.021479969928510964, "maker": false}
2025-09-14 07:49:00,613 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='sell', type_='limit', qty=0.056241859000000005, price=4652.0, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.056241859000000005) via paper reason=None
2025-09-14 07:49:00,614 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-23 tid=trade-27 reason=None
2025-09-14 07:49:00,615 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "sell", "price": 4652.0, "qty": 0.056241859000000005, "fee": 0.0, "pnl": -9.984497368247444}
2025-09-14 07:49:00,615 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.0, "locked": 685.3511223959999}
2025-09-14 07:49:00,615 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "sell", "price": 4652.0, "qty": 0.056241859000000005, "fee": 0.19622784605100002, "pnl": -0.7436295855522328, "slippage_bps": 0.0, "maker": true}
2025-09-14 07:50:00,827 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 07:50:00,828 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 07:50:00,828 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 07:50:00,828 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 07:51:00,901 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 07:51:00,902 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 07:51:00,902 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 07:51:00,902 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 07:52:00,512 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 07:52:00,512 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 07:52:00,512 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 07:52:00,512 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 07:53:00,798 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 07:53:00,798 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 07:53:00,798 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 07:53:00,798 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 07:54:00,497 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 07:54:00,497 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 07:54:00,498 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 07:54:00,498 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 08:03:00,635 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 08:03:00,635 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 08:03:00,635 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 08:03:00,635 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
