

2025-09-14 03:02:03,891 | INFO | tradingbot.live.runner_paper | Connecting to Binance spot WS in paper mode for ETHUSDT
2025-09-14 03:02:09,187 | INFO | tradingbot.live.runner_paper | METRICS {"leverage": 1}
INFO:     Started server process [13]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:44749 (Press CTRL+C to quit)
2025-09-14 03:33:02,601 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4670.0, "qty": 0.004506574, "fee": 0.0, "pnl": 0.0}
2025-09-14 03:33:02,601 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.106949665, "locked": 0.0}
2025-09-14 03:33:02,601 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4670.0, "qty": 0.004506574, "fee": 0.015784275435, "pnl": 0.0, "slippage_bps": 0.0, "maker": true}
2025-09-14 03:37:01,363 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.0015253880000000001, price=4670.95, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.0015253880000000001) via paper reason=None
2025-09-14 03:37:01,365 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-16 tid=trade-20 reason=None
2025-09-14 03:37:01,365 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4670.95, "qty": 0.0015253880000000001, "fee": 0.0, "pnl": 0.0}
2025-09-14 03:37:01,365 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.1084750530000003, "locked": 0.0}
2025-09-14 03:37:01,366 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4670.95, "qty": 0.0015253880000000001, "fee": 0.00534375830895, "pnl": 0.0, "slippage_bps": 0.0, "maker": true}
2025-09-14 03:39:02,741 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='sell', type_='limit', qty=0.004780755, price=4676.09, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.004780755) via paper reason=None
2025-09-14 03:39:02,742 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-17 tid=trade-21 reason=None
2025-09-14 03:39:02,742 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "sell", "price": 4676.09, "qty": 0.004780755, "fee": 0.0, "pnl": 0.0}
2025-09-14 03:39:02,743 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.1084750530000003, "locked": 22.3551928404}
2025-09-14 03:40:01,117 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='sell', type_='limit', qty=0.00416388, price=4676.08, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.00416388) via paper reason=None
2025-09-14 03:40:01,119 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-18 tid=trade-23 reason=None
2025-09-14 03:40:01,120 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='sell', type_='limit', qty=9.999999994736442e-10, price=4676.08, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=9.999999994736442e-10) via paper reason=None
2025-09-14 03:40:01,121 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-19 tid=trade-24 reason=min_notional
2025-09-14 03:40:01,121 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "sell", "price": 4676.08, "qty": 0.00416388, "fee": 0.0, "pnl": 0.0217586639260353}
2025-09-14 03:40:01,122 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.099530419, "locked": 0.0}
2025-09-14 03:40:01,122 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "sell", "price": 4676.08, "qty": 0.0041638790000000005, "fee": 0.014602973485740002, "pnl": 0.010106772276672824, "slippage_bps": 0.0, "maker": true}
2025-09-14 03:41:00,588 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='sell', type_='limit', qty=0.003995975000000001, price=4675.92, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.003995975000000001) via paper reason=None
2025-09-14 03:41:00,589 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-20 tid=trade-25 reason=None
2025-09-14 03:41:00,590 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "sell", "price": 4675.92, "qty": 0.003995975000000001, "fee": 0.0, "pnl": 0.030858495090732928}
2025-09-14 03:41:00,590 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.095534444, "locked": 0.0}
2025-09-14 03:41:00,590 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "sell", "price": 4675.93, "qty": 0.003995975000000001, "fee": 0.014013674536312503, "pnl": 0.009099831164697626, "slippage_bps": 0.021386165717587724, "maker": false}
2025-09-14 03:42:00,610 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='sell', type_='limit', qty=0.0038361920000000004, price=4675.91, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.0038361920000000004) via paper reason=None
2025-09-14 03:42:00,611 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-21 tid=trade-26 reason=None
2025-09-14 03:42:00,612 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "sell", "price": 4675.91, "qty": 0.0038361920000000004, "fee": 0.0, "pnl": 0.03951773669480028}
2025-09-14 03:42:00,612 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.091698252, "locked": 0.0}
2025-09-14 03:42:00,612 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "sell", "price": 4675.91, "qty": 0.0038361920000000004, "fee": 0.013453266401040002, "pnl": 0.00865924160406735, "slippage_bps": 0.0, "maker": true}
2025-09-14 03:48:01,679 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=7.8609e-05, price=4672.45, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=7.8609e-05) via paper reason=None
2025-09-14 03:48:01,680 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-22 tid=trade-27 reason=None
2025-09-14 03:48:01,680 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4672.45, "qty": 7.8609e-05, "fee": 0.0, "pnl": 0.03951773669480028}
2025-09-14 03:48:01,680 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.091776861, "locked": 0.0}
2025-09-14 03:48:01,680 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4672.44, "qty": 7.8609e-05, "fee": 0.00027547187697, "pnl": 0.0, "slippage_bps": -0.021402048176477607, "maker": false}
2025-09-14 03:49:00,487 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.008592341, price=4670.28, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.008592341) via paper reason=None
2025-09-14 03:49:00,488 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-23 tid=trade-28 reason=None
2025-09-14 03:49:00,488 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4670.28, "qty": 0.008592341, "fee": 0.0, "pnl": 0.03951773669480028}
2025-09-14 03:49:00,489 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.100369202, "locked": 0.0}
2025-09-14 03:49:00,489 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4670.28, "qty": 0.008592341, "fee": 0.03009647874411, "pnl": 0.0, "slippage_bps": 0.0, "maker": true}
2025-09-14 03:50:00,643 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.0006212230000000001, price=4671.21, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.0006212230000000001) via paper reason=None
2025-09-14 03:50:00,644 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-24 tid=trade-29 reason=None
2025-09-14 03:50:00,644 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4671.21, "qty": 0.0006212230000000001, "fee": 0.0, "pnl": 0.03951773669480028}
2025-09-14 03:50:00,644 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.100990425, "locked": 0.0}
2025-09-14 03:50:00,644 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4671.21, "qty": 0.0006212230000000001, "fee": 0.0021763973173725003, "pnl": 0.0, "slippage_bps": 0.0, "maker": true}
2025-09-14 03:51:01,840 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.005816776, price=4669.59, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.005816776) via paper reason=None
2025-09-14 03:51:01,841 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-25 tid=trade-30 reason=None
2025-09-14 03:51:01,841 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4669.59, "qty": 0.005816776, "fee": 0.0, "pnl": 0.03951773669480028}
2025-09-14 03:51:01,841 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.100990425, "locked": 27.162017209600002}
2025-09-14 03:52:00,979 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.004371776, price=4669.19, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.004371776) via paper reason=None
2025-09-14 03:52:00,979 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-26 tid=trade-32 reason=None
2025-09-14 03:52:00,980 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4669.19, "qty": 0.004371776, "fee": 0.0, "pnl": 0.03951773669480028}
2025-09-14 03:52:00,980 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.106807201, "locked": 20.4126964992}
2025-09-14 03:53:00,497 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.0023793720000000003, price=4669.52, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.0023793720000000003) via paper reason=None
2025-09-14 03:53:00,497 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-27 tid=trade-34 reason=None
2025-09-14 03:53:00,497 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4669.52, "qty": 0.0023793720000000003, "fee": 0.0, "pnl": 0.03951773669480028}
2025-09-14 03:53:00,498 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.1135583490000003, "locked": 0.0}
2025-09-14 03:53:00,498 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4669.52, "qty": 0.0023793720000000003, "fee": 0.008332893856080001, "pnl": 0.0, "slippage_bps": 0.0, "maker": true}
2025-09-14 03:55:01,855 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.005507587, price=4667.96, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.005507587) via paper reason=None
